user_id,name,email,registration_timestamp
user1,User Name 1,username1@example.com,2024-06-05T10:00:00
user2,User Name 2,username2@example.com,2024-06-05T10:30:00
user3,User Name 3,username3@example.com,2024-06-05T11:00:00
user4,User Name 4,username4@example.com,2024-06-05T11:30:00
user5,User Name 5,username5@example.com,2024-06-05T12:00:00
user6,User Name 6,username6@example.com,2024-06-05T12:30:00
user7,User Name 7,username7@example.com,2024-06-05T13:00:00
user8,User Name 8,username8@example.com,2024-06-05T13:30:00
user9,User Name 9,username9@example.com,2024-06-05T14:00:00
user10,User Name 10,username10@example.com,2024-06-05T14:30:00
